,name,salary_from,salary_to,salary_currency,area_name,published_at
205,Инженер средств радио и телевидения (Аварийно-профилактическая группа),45000.0,55000.0,RUR,Смоленск,2022-12-23T10:09:28+0300
206,Project Manager,,,,Алматы,2022-12-23T10:21:21+0300
207,ITспециалист/инженер/программист,64000.0,64000.0,RUR,Екатеринбург,2022-12-23T11:19:31+0300
208,Техник,60000.0,70000.0,RUR,Москва,2022-12-23T11:54:39+0300
209,Программист SQL,35000.0,55000.0,RUR,Сочи,2022-12-23T10:59:55+0300
210,Дендролог,50000.0,,RUR,Симферополь,2022-12-23T09:00:10+0300
211,Инженер-программист,80000.0,,RUR,Москва,2022-12-23T11:53:08+0300
212,Программист,15279.0,,RUR,Энгельс,2022-12-23T06:53:48+0300
213,Сервисный инженер,80000.0,,RUR,Хабаровск,2022-12-23T05:21:01+0300
214,Системный администратор,76000.0,76000.0,RUR,Москва,2022-12-23T11:37:08+0300
215,Программист,40000.0,,RUR,Иркутск,2022-12-23T03:01:36+0300
216,Технический писатель,,,,Минск,2022-12-23T11:28:51+0300
217,Аналитик по товародвижению,62000.0,,RUR,Новосибирск,2022-12-23T08:23:10+0300
218,Программист-электронщик (ПЛК/PLC),,100000.0,RUR,Санкт-Петербург,2022-12-23T09:51:06+0300
219,Токарь,65000.0,,RUR,Красноярск,2022-12-23T05:53:07+0300
220,Оператор станка,55000.0,,RUR,Жуковский,2022-12-23T09:58:47+0300
221,Android developer,140000.0,160000.0,RUR,Санкт-Петербург,2022-12-23T10:57:00+0300
222,Инженер-тестировщик в команду Machine Learning,,,,Новосибирск,2022-12-23T05:29:30+0300
223,Junior разработчик (поисковая выдача),,65000.0,RUR,Санкт-Петербург,2022-12-23T09:50:53+0300
224,"Специалист по технической поддержке, 1 линия",34500.0,34500.0,RUR,Орел,2022-12-23T11:29:34+0300
225,Ученик инженера по ремонту часов,48000.0,,RUR,Якутск,2022-12-23T06:07:16+0300
226,Ведущий разработчик,462000.0,,KZT,Астана,2022-12-23T07:11:01+0300
227,Программист-стажер 1С,30000.0,65000.0,RUR,Волгоград,2022-12-23T09:20:33+0300
228,Супервайзер по автоматизации закупок,,,,Алматы,2022-12-23T06:23:54+0300
229,Программист Oracle,,,,Екатеринбург,2022-12-23T09:03:06+0300
230,Техник охранно-пожарной сигнализации (ОПС),60000.0,,RUR,Красноярск,2022-12-23T09:53:28+0300
231,Специалист по видеонаблюдению,50000.0,,RUR,Гусев,2022-12-23T11:02:49+0300
